Title Cleaned,Ingredients Cleaned,Steps
ayam woku manado,"ayam kampung potong , jeruk nipis , garam , kunyit , bawang merah , bawang putih , cabe merah , cabe rawit merah , kemiri , serai , daun salam , daun kemangi , penyedap , air","1) Cuci bersih ayam dan tiriskan. Lalu peras jeruk nipis (kalo gak ada jeruk nipis bisa pake cuka) dan beri garam. Aduk hingga merata dan diamkan selama 5 menit, biar ayam gak bau amis.
2) Goreng ayam tersebut setengah matang, lalu tiriskan
3) Haluskan bumbu menggunakan blender. Bawang merah, bawang putih, cabe merah, cabe rawit, kemiri dan kunyit. Oh iya kasih minyak sedikit yaa biar bisa di blender. Untuk sereh nya di geprek aja terus di buat simpul.
4) Setelah bumbu di haluskan barulah di tumis. Jangan lupa sereh dan daun salamnya juga ikut di tumis. Di tumis sampai berubah warna ya
5) Masukan ayam yang sudah di goreng setengah matang ke dalam bumbu yang sudah di tumis, dan diamkan 5 menit dulu. Biar bumbu meresap. Lalu tuangkan 1 1/2 Gelas air. Lalu tambahkan penyedap rasa (saya 3 Sdt, tapi sesuai selera ya) koreksi rasa dan Biar kan sampai mendidih
6) Setelah masakan mendidih, lalu masukan daun kemangi yang sudah di potong potong. Masak lagi sekitar 10 menit. And taraaaaaaaaaaaaaa..... jadi deh Ayam Woku Manadonya.
7) Oh iyaa kalo mau di tambahkan potongan tomat merah juga bisa ko. Sesuai selera aja yaa buibuuuu"
ayam goreng tulang lunak,"ayam dipotong , serai , daun jeruk , bawang putih haluskan , biji ketumbar , laos haluskan , kunyit , kemiri , garam , air tuk ukep ayam , minyak goreng","1) Haluskan bumbu2nya (BaPut, ketumbar, kemiri, kunyit, Laos, garam) hingga halus, sisihkan
2) Campur kan bumbu halus tadi dengan ayam yg sudah dicuci bersih dan sudah dipotong didalam panci presto. Uleni sampai tercampur rata.
3) Tambahkan air hingga ayam tenggelam semua. Masukkan serai dan daun jeruk nya kedalam rendaman ayam. Tutup panci presto rebus/ ukep presto sampai kurleb 45 menit. Dengan api sedang.
4) Setelah proses ukep presto selesai, tunggu suhu dingin ruang. Lalu goreng ayam dengan minyak goreng api sedang sampai ayam berwarna kecoklatan.
5) Matang dan sajikan ayam selagi hangat bersama nasi putih, sambal dgn perasan jeruk nipis, lalapan."
ayam cabai kawin,"ayam , cabai hijau , cabai merah rawit , bawang putih , bawang merah , gula , garam , tomat merah , air , minyak goreng","1) Panaskan minyak di dalam wajan. Setelah minyak panas masukkan ayam yang sudah dipotong dadu. Goreng hingga matang. Lalu tiriskan.
2) Haluskan bawang putih, bawang merah, cabai hijau dan merah, tomat.
3) Panaskan minyak didalam wajan. Setelah minyak panas, masukkan bumbu yang sudah halus. Tunggu sampai wangi. Masukkan ayam yang sudah di goreng. Tambahkan air, gula dan garam. Tunggu sampai bumbu meresap di ayam. Sajikan."
ayam geprek,"daging ayam fillet , gula garam , tepung ayam , daun kemangi , kol , timun , minyak panas , sambal korek , cabe rawit merah bawang putih","1) Goreng ayam seperti ayam krispi
2) Ulek semua bahan sambal kemudian campur dengan minyak panas bekas goreng ayam
3) Geprek ayam kemudian campur dengan sambal,sajikan dengan lalapan"
minyak ayam,"kulit ayam & lemaknya , bawang putih , cincang kasar , jahe , geprek , minyak goreng , biji ketumbar","1) Cuci bersih kulit ayam. Sisihkan
2) Ambil 50 ml minyak goreng satu bahan yg sudah disiapkan tadi. Tumis jahe hingga harum.
3) Masukkan kulit ayam, ketumbar dan bawang. Biarkan hingga keluar minyak alaminya sambil diaduk-aduk.
4) Tambahkan sisa minyak goreng. Masak hingga kulit ayam mengering. Angkat dan saring.
5) Setelah cukup dingin minyak ayam tadi dapat disimpan dalam wadah kering seperti mason jar/botol. Kalo saya, saya masukkan juga sedikit bawang putih goreng.
6) Kulit ayam yg sudah digoreng kering tadi bisa dinikmati begitu saja sebagai camilan dengan ditaburi sejumput garam lalu aduk rata."
nasi bakar ayam,"piring nasi , fillet ayam , potong kotak , daun pisang dibersihkan , lidi tusuk gigi mengapit daun , daun salam , serai , memarkan , daun kemangi , cabe merah , tipis , kecap manis , minyak menumis , air , bumbu halus , cabe merah , cabe , bawang merah , bawang putih , kemiri , kunyit , jahe , tomat , gula pasir , blok kaldu ayam pake maggy pake royco , masako , merica takar nya ","1) Tumis bumbu halus, masukkan daun salam, serai
2) Masukkan potongan ayam, kecap dan air, masak hingga air menyusut dan koreksi rasa
3) Masukkan irisan cabe merah dan daun kemangi, aduk sebentar dan matikan api
4) Tata daun pisang, tata nasi di atas daun, beri isian ayam atau bisa juga nasi di campur dan diaduk dulu dengan ayam baru di tata di daun Pisang, bunbu ayam akan lebih meresap k nasi
5) Setelah nasi di bungkus, barulah nasi di bakar, aku bakar pake teflon z br cepet
6) Sajikan selagi hangat endeusss
7) Note: Jangan membakar terlalu lama biar nasi ga kotor dari daun yg di bakar kering"
ayam saus hintalu jaruk,"ayam , hintalu jaruk , cabe merah , cabe hijau , tepung terigu , merica bubuk , bawang putih , jeruk nipis , minyak goreng menumis , gula , garam penyedap","1) Potong ayam menjadi kotak-kotak ukuran sedang cuci bersih kemudian lumuri perasan jeruk nipis, garam dan merica
2) Buat adonan tepung untuk melapisi ayam. Adonan A (Tepung terigu, garam, merica, penyedap dan air es) dan adonan B (Tepung terigu, garam, merica dan penyedap)
3) Masukan daging ayam kedalam adonan A kemudian lapisi dengan adonan B, setelah itu goreng daging kedalam minyak panas sampai berwarna kuning keemasan. Angkat tiriskan
4) Cincang bawang putih,iris seron cabe merah dan cabe hijau. Lumatkan kuning hintalu jaruk aka telur asin dengan air dingin sampai berbentuk pasta
5) Tumis bawang putih dan cabe sampai harum, kemudian tuangkan ayam dan pasta kuning telur.
6) Tambahkan gula, garam, penyedap dan merica secukupnya. Tes rasa dan masal hingga mengental
7) Angkat dan sajikan bersama nasi putih panas. Selamat mencoba"
ayam saos teriyaki lada hitam,"ayam dada tulang , bawang bombai , bawang daun , bawang putih , cabe merah , cabe ijo , bumbu , air , mentega menumis , saos teriyaki , gula pasir , royco ayam , larutan meizena","1) Cara Buat :
1. Sediakan teplon or wajan beri sedikit minyak dan masukan bawang putih dan bawang bombay yang sudah di potong potong tumis sampai harum. Bisa juga sebelum dimasak ayamnya dibalurkan ke saos teriyaki dan diamkan selama 15 menit agar meresap
2) 2. Masukan ayam oseng sampai agak mateng, baru masukan cabe ijo dan merah.
Beri sedikit air
3) 3. Masukan bumbu royco ayan saos teriyaki, gula, dan bubuk lada hitam. Cicipin
4) 4. Setelah mulai mateng masukan daun bawang jika ingin kental bisa masukan larutan meizena yak. Saya tadi gak pake karena tiba tiba amnesia kirain punya tepungnya ternyata udah habis ..
Setelah masak siap disajikan dengan nasi angat."
steak ayam,"dada ayam fillet , air jeruk nipis , garam , terigu , maizena , merica , garam , air , adonan kering , terigu , maizena , merica bubuk , kaldu jamur , garam , minyak goreng , saus jamur , jamur tiram blender , bawang putih cincang halus , keju parut , maizena cairkan dgn air , saus tiram , kecap manis , merica halus , garam & kaldu jamur , air , pelengkap , buncis wortel kukus","1) Cuci bersih ayam, iris tipis melebar, rendam dgn garam dan air jeruk nipis 10 menit, cuci
2) Campur adonan kering, sisihkan
3) Campur adonan basah, sisihkan
4) Panaskan minyak goreng dgn api sedang, gulingkan ayam pada adonan kering, lalu celup ke adonan basah, gulingkan lg pada adonan kering, jgn di remas2, kibas2 daging ayam pada adonan kering, lalu goreng di minyak yg banyak dan panas, biarkan krispinya terbentuk dl, jgn di balik2 dl, setelah cukup kering br di balik, goreng smpe matang, tiriskan
5) Blender jamur tiram kasih air sedikit. tumis bawang putih yg di cincang halus, masukkan jamur yg di blender, masukkan bumbu2 yg lain sampai meresap, lalu tuang maizena yg sdh di cairkan dgn setengah gelas air, aduk2, masukkan keju parut, aduk sampai meletup2, tes rasa, klo sdh sesuai, angkat
6) Tata dlm piring, ayam goreng tepung dan sayur kukus, siram dgn saus jamur, taburi daun bawang atau parsley jk ada."
ayam saos asam manis simple,"ayam dada fillet potong dadu , air jeruk nipis utk baluran , tepung bumbu ayam instan + campur tepung terigu , bawang putih tipis , bawang merah tipis , bawang bombai tipis , tomat haluskan , saos sambal , saos tiram , gula & garam , merica bubuk","1) Lumuri ayam yg sdh dipotong dadu dgn garam & perasan jeruk nipis (diamkan sebentar)
2) Baluri ayam dengan tepung basah, lanjutkan ke tepung kering, diamkan sebentar
3) Goreng ayam yg sdh dbaluri tepung sampai kering & matang, angkat tiriskan.
4) Membuat Saos Asam Manis : -Tumis b.merah & putih (sy suka klo bawang y agak kering)
5) Masukkan bawang bombay, tumis sebentar.
6) Masukkan tomat buah yg sdh dihaluskan tdi, tumis lagi pakai api sedang, tambahkan air secukupnya
7) Masukkan saos sambal, saos tiram, sedikit perasan jeruk nipis, gula, garam & merica (koreksi sampai rasanya terasa asam manis gurih segar)
8) Masukkan ayam yg sdh digoreng tdi kedalam saos asam manis, diamkan sebentar
9) Setelah ayam sdh cukup merasap dengan saos asam manisnya matikan api dan siap disajikan dengan nasi putih hangat"
